

(Table XV)	Centrality  0- 5%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
 0.416      |   7.970 |   6.037 | \pm  0.039    |  31.80 |  24.10 | \pm  2.56   | 0.52         | 17.7  | \pm  0.58   | \pm  0.38   | \pm  2.65   
 0.394      |   7.537 |   5.686 | \pm  0.038    |  31.73 |  23.97 | \pm  2.67   | 0.54         | 17.1  | \pm  0.79   | \pm  0.42   | \pm  2.82   
 0.372      |   7.108 |   5.339 | \pm  0.037    |  31.47 |  23.68 | \pm  2.78   | 0.53         | 16.4  | \pm  0.83   | \pm  0.37   | \pm  2.92   
 0.350      |   6.688 |   5.009 | \pm  0.025    |  31.14 |  23.38 | \pm  2.05   | 0.54         | 15.6  | \pm  0.84   | \pm  0.38   | \pm  2.25   
 0.328      |   6.271 |   4.709 | \pm  0.024    |  30.59 |  23.16 | \pm  2.12   | 0.55         | 15.0  | \pm  0.77   | \pm  0.37   | \pm  2.29   
 0.306      |   5.860 |   4.413 | \pm  0.023    |  29.82 |  22.83 | \pm  2.20   | 0.55         | 14.4  | \pm  0.72   | \pm  0.35   | \pm  2.34   
 0.284      |   5.450 |   4.115 | \pm  0.022    |  29.04 |  22.41 | \pm  2.27   | 0.54         | 13.7  | \pm  0.57   | \pm  0.36   | \pm  2.37   
 0.263      |   5.037 |   3.813 | \pm  0.021    |  28.60 |  22.23 | \pm  2.41   | 0.57         | 13.1  | \pm  0.44   | \pm  0.43   | \pm  2.49   
 0.241      |   4.623 |   3.508 | \pm  0.020    |  28.11 |  21.89 | \pm  2.48   | 0.55         | 12.4  | \pm  0.47   | \pm  0.42   | \pm  2.56   
 0.219      |   4.205 |   3.196 | \pm  0.016    |  27.55 |  21.51 | \pm  2.15   | 0.55         | 11.8  | \pm  0.45   | \pm  0.38   | \pm  2.23   
 0.197      |   3.785 |   2.879 | \pm  0.015    |  27.20 |  21.34 | \pm  2.35   | 0.56         | 11.0  | \pm  0.42   | \pm  0.41   | \pm  2.42   
 0.175      |   3.364 |   2.558 | \pm  0.012    |  26.76 |  21.15 | \pm  2.25   | 0.58         | 10.3  | \pm  0.45   | \pm  0.40   | \pm  2.33   
 0.153      |   2.943 |   2.236 | \pm  0.011    |  26.24 |  20.74 | \pm  2.47   | 0.57         |  9.4  | \pm  0.16   | \pm  0.40   | \pm  2.50   
 0.131      |   2.523 |   1.913 | \pm  0.009    |  25.81 |  20.49 | \pm  2.54   | 0.53         |  8.5  | \pm  0.12   | \pm  0.42   | \pm  2.57   
 0.109      |   2.104 |   1.592 | \pm  0.008    |  25.12 |  19.94 | \pm  2.71   | 0.48         |  7.6  | \pm  0.09   | \pm  0.52   | \pm  2.76   
 0.087      |   1.692 |   1.306 | \pm  0.006    |  23.73 |  18.71 | \pm  2.55   | 0.45         |  6.6  | \pm  0.14   | \pm  0.38   | \pm  2.58   
 0.066      |   1.277 |   1.014 | \pm  0.004    |  21.69 |  16.94 | \pm  2.72   | 0.49         |  5.4  | \pm  0.51   | \pm  0.45   | \pm  2.80   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table XXV)	Centrality 50-55%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |   0.177 |   7.877 | \pm  0.046    |  27.08 |  20.96 | \pm  1.52   | 1.18         | 24.0  | \pm  1.23   | \pm  0.17   | \pm  1.96   
 0.678      |   9.898 |   7.667 | \pm  0.045    |  26.98 |  20.90 | \pm  1.53   | 1.14         | 23.0  | \pm  0.62   | \pm  0.26   | \pm  1.67   
 0.656      |   9.584 |   7.414 | \pm  0.044    |  26.02 |  20.12 | \pm  1.50   | 1.07         | 21.9  | \pm  0.94   | \pm  0.23   | \pm  1.79   
 0.634      |   9.257 |   7.151 | \pm  0.044    |  25.65 |  19.81 | \pm  1.51   | 0.97         | 21.2  | \pm  0.43   | \pm  0.21   | \pm  1.58   
 0.613      |   8.935 |   6.897 | \pm  0.043    |  25.16 |  19.42 | \pm  1.52   | 0.85         | 20.8  | \pm  0.63   | \pm  0.16   | \pm  1.66   
 0.591      |   8.613 |   6.647 | \pm  0.042    |  24.75 |  19.10 | \pm  1.53   | 0.82         | 20.0  | \pm  0.77   | \pm  0.21   | \pm  1.73   
 0.569      |   8.287 |   6.389 | \pm  0.041    |  24.69 |  19.03 | \pm  1.58   | 0.80         | 19.6  | \pm  0.54   | \pm  0.10   | \pm  1.68   
 0.547      |   7.964 |   6.130 | \pm  0.040    |  24.46 |  18.82 | \pm  1.62   | 0.79         | 19.1  | \pm  0.70   | \pm  0.22   | \pm  1.77   
 0.525      |   7.640 |   5.872 | \pm  0.039    |  24.42 |  18.76 | \pm  1.67   | 0.79         | 18.5  | \pm  0.67   | \pm  0.28   | \pm  1.81   
 0.503      |   7.318 |   5.614 | \pm  0.038    |  24.25 |  18.59 | \pm  1.72   | 0.74         | 18.0  | \pm  0.67   | \pm  0.25   | \pm  1.86   
 0.481      |   6.991 |   5.351 | \pm  0.037    |  24.35 |  18.62 | \pm  1.80   | 0.74         | 17.5  | \pm  0.57   | \pm  0.26   | \pm  1.91   
 0.459      |   6.664 |   5.085 | \pm  0.036    |  24.37 |  18.58 | \pm  1.89   | 0.70         | 16.9  | \pm  0.79   | \pm  0.24   | \pm  2.06   
 0.438      |   6.338 |   4.818 | \pm  0.035    |  24.32 |  18.48 | \pm  1.96   | 0.61         | 16.3  | \pm  0.93   | \pm  0.26   | \pm  2.19   
 0.416      |   6.013 |   4.554 | \pm  0.034    |  24.34 |  18.42 | \pm  2.05   | 0.55         | 15.7  | \pm  0.93   | \pm  0.39   | \pm  2.28   
 0.394      |   5.689 |   4.292 | \pm  0.033    |  24.43 |  18.41 | \pm  2.14   | 0.52         | 15.0  | \pm  1.01   | \pm  0.22   | \pm  2.38   
 0.372      |   5.365 |   4.031 | \pm  0.032    |  24.59 |  18.43 | \pm  2.28   | 0.52         | 14.3  | \pm  0.85   | \pm  0.35   | \pm  2.46   
 0.350      |   5.047 |   3.781 | \pm  0.022    |  24.82 |  18.54 | \pm  1.71   | 0.54         | 13.8  | \pm  0.85   | \pm  0.37   | \pm  1.94   
 0.328      |   4.731 |   3.554 | \pm  0.021    |  24.90 |  18.65 | \pm  1.81   | 0.62         | 13.4  | \pm  0.58   | \pm  0.26   | \pm  1.92   
 0.306      |   4.421 |   3.331 | \pm  0.020    |  24.53 |  18.49 | \pm  1.90   | 0.62         | 12.9  | \pm  0.47   | \pm  0.35   | \pm  1.99   
 0.284      |   4.110 |   3.106 | \pm  0.019    |  24.09 |  18.29 | \pm  2.00   | 0.58         | 12.3  | \pm  0.62   | \pm  0.20   | \pm  2.10   
 0.263      |   3.798 |   2.877 | \pm  0.018    |  23.76 |  18.20 | \pm  2.19   | 0.61         | 11.6  | \pm  0.57   | \pm  0.11   | \pm  2.27   
 0.241      |   3.487 |   2.646 | \pm  0.018    |  23.58 |  18.20 | \pm  2.34   | 0.59         | 11.1  | \pm  0.59   | \pm  0.23   | \pm  2.43   
 0.219      |   3.173 |   2.412 | \pm  0.013    |  23.10 |  17.98 | \pm  2.13   | 0.56         | 10.5  | \pm  0.77   | \pm  0.24   | \pm  2.28   
 0.197      |   2.858 |   2.174 | \pm  0.013    |  22.73 |  17.85 | \pm  2.36   | 0.53         |  9.8  | \pm  0.74   | \pm  0.25   | \pm  2.49   
 0.175      |   2.541 |   1.932 | \pm  0.010    |  22.47 |  17.74 | \pm  2.36   | 0.54         |  9.0  | \pm  0.95   | \pm  0.27   | \pm  2.56   
 0.153      |   2.224 |   1.691 | \pm  0.010    |  22.22 |  17.61 | \pm  2.64   | 0.57         |  8.2  | \pm  0.89   | \pm  0.29   | \pm  2.80   
 0.131      |   1.906 |   1.447 | \pm  0.008    |  21.76 |  17.39 | \pm  2.93   | 0.64         |  7.4  | \pm  0.75   | \pm  0.36   | \pm  3.05   
 0.109      |   1.593 |   1.215 | \pm  0.006    |  20.48 |  16.47 | \pm  3.02   | 0.59         |  6.6  | \pm  0.69   | \pm  0.35   | \pm  3.11   
 0.087      |   1.279 |   0.982 | \pm  0.005    |  19.00 |  15.26 | \pm  2.67   | 0.54         |  5.5  | \pm  0.67   | \pm  0.47   | \pm  2.80   
 0.066      |   0.969 |   0.770 | \pm  0.004    |  16.64 |  13.48 | \pm  2.31   | 0.52         |  4.5  | \pm  0.59   | \pm  0.54   | \pm  2.45   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table XXVI)	Centrality 55-60%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |   7.465 |   5.778 | \pm  0.041    |  18.75 |  14.52 | \pm  1.12   | 0.71         | 16.0  | \pm  0.59   | \pm  0.13   | \pm  1.27   
 0.678      |   7.258 |   5.622 | \pm  0.040    |  19.02 |  14.74 | \pm  1.14   | 0.76         | 16.0  | \pm  0.60   | \pm  0.08   | \pm  1.29   
 0.656      |   7.021 |   5.431 | \pm  0.039    |  18.80 |  14.54 | \pm  1.14   | 0.73         | 15.8  | \pm  0.61   | \pm  0.09   | \pm  1.29   
 0.634      |   6.781 |   5.238 | \pm  0.038    |  18.41 |  14.22 | \pm  1.14   | 0.57         | 15.4  | \pm  0.57   | \pm  0.09   | \pm  1.28   
 0.613      |   6.547 |   5.054 | \pm  0.038    |  18.01 |  13.89 | \pm  1.13   | 0.51         | 14.7  | \pm  0.70   | \pm  0.07   | \pm  1.33   
 0.591      |   6.307 |   4.867 | \pm  0.037    |  17.98 |  13.87 | \pm  1.15   | 0.56         | 14.4  | \pm  0.70   | \pm  0.07   | \pm  1.34   
 0.569      |   6.070 |   4.680 | \pm  0.036    |  17.84 |  13.75 | \pm  1.15   | 0.51         | 14.1  | \pm  0.69   | \pm  0.07   | \pm  1.35   
 0.547      |   5.833 |   4.490 | \pm  0.035    |  17.66 |  13.59 | \pm  1.17   | 0.47         | 13.7  | \pm  0.63   | \pm  0.07   | \pm  1.33   
 0.525      |   5.596 |   4.301 | \pm  0.034    |  17.52 |  13.46 | \pm  1.19   | 0.44         | 13.4  | \pm  0.60   | \pm  0.08   | \pm  1.34   
 0.503      |   5.360 |   4.112 | \pm  0.033    |  17.52 |  13.43 | \pm  1.22   | 0.43         | 13.2  | \pm  0.67   | \pm  0.09   | \pm  1.40   
 0.481      |   5.122 |   3.920 | \pm  0.033    |  17.49 |  13.38 | \pm  1.26   | 0.47         | 13.1  | \pm  0.66   | \pm  0.09   | \pm  1.43   
 0.459      |   4.885 |   3.728 | \pm  0.032    |  17.37 |  13.24 | \pm  1.30   | 0.49         | 12.6  | \pm  0.69   | \pm  0.09   | \pm  1.47   
 0.438      |   4.648 |   3.534 | \pm  0.031    |  17.22 |  13.08 | \pm  1.33   | 0.51         | 12.1  | \pm  0.74   | \pm  0.10   | \pm  1.53   
 0.416      |   4.411 |   3.340 | \pm  0.030    |  17.20 |  13.01 | \pm  1.39   | 0.58         | 11.5  | \pm  0.62   | \pm  0.10   | \pm  1.52   
 0.394      |   4.173 |   3.148 | \pm  0.029    |  17.18 |  12.95 | \pm  1.44   | 0.62         | 10.9  | \pm  0.78   | \pm  0.12   | \pm  1.64   
 0.372      |   3.935 |   2.955 | \pm  0.028    |  17.34 |  13.00 | \pm  1.54   | 0.63         | 10.4  | \pm  0.84   | \pm  0.13   | \pm  1.76   
 0.350      |   3.701 |   2.772 | \pm  0.019    |  17.31 |  12.94 | \pm  1.15   | 0.65         |  9.9  | \pm  0.67   | \pm  0.08   | \pm  1.33   
 0.328      |   3.472 |   2.607 | \pm  0.018    |  17.17 |  12.87 | \pm  1.19   | 0.66         |  9.5  | \pm  0.71   | \pm  0.10   | \pm  1.39   
 0.306      |   3.244 |   2.444 | \pm  0.018    |  17.09 |  12.85 | \pm  1.25   | 0.68         |  9.2  | \pm  0.64   | \pm  0.09   | \pm  1.41   
 0.284      |   3.016 |   2.279 | \pm  0.017    |  16.91 |  12.74 | \pm  1.32   | 0.67         |  8.6  | \pm  0.53   | \pm  0.08   | \pm  1.42   
 0.263      |   2.787 |   2.111 | \pm  0.016    |  16.61 |  12.58 | \pm  1.40   | 0.62         |  8.1  | \pm  0.56   | \pm  0.09   | \pm  1.51   
 0.241      |   2.558 |   1.942 | \pm  0.015    |  16.53 |  12.57 | \pm  1.50   | 0.61         |  7.6  | \pm  0.52   | \pm  0.11   | \pm  1.59   
 0.219      |   2.326 |   1.769 | \pm  0.012    |  16.34 |  12.46 | \pm  1.35   | 0.66         |  7.1  | \pm  0.49   | \pm  0.10   | \pm  1.44   
 0.197      |   2.095 |   1.595 | \pm  0.011    |  16.13 |  12.30 | \pm  1.44   | 0.62         |  6.7  | \pm  0.48   | \pm  0.11   | \pm  1.52   
 0.175      |   1.861 |   1.417 | \pm  0.009    |  16.07 |  12.24 | \pm  1.45   | 0.72         |  6.3  | \pm  0.34   | \pm  0.12   | \pm  1.49   
 0.153      |   1.630 |   1.240 | \pm  0.009    |  15.67 |  11.91 | \pm  1.54   | 0.59         |  5.7  | \pm  0.17   | \pm  0.13   | \pm  1.56   
 0.131      |   1.399 |   1.062 | \pm  0.007    |  14.90 |  11.39 | \pm  1.50   | 0.47         |  5.1  | \pm  0.35   | \pm  0.15   | \pm  1.54   
 0.109      |   1.166 |   0.882 | \pm  0.006    |  14.25 |  10.82 | \pm  1.56   | 0.42         |  4.5  | \pm  0.37   | \pm  0.17   | \pm  1.61   
 0.087      |   0.935 |   0.714 | \pm  0.004    |  13.41 |  10.20 | \pm  1.63   | 0.46         |  4.0  | \pm  0.30   | \pm  0.15   | \pm  1.66   
 0.066      |   0.703 |   0.548 | \pm  0.003    |  11.85 |   9.19 | \pm  1.63   | 0.53         |  3.3  | \pm  0.35   | \pm  0.17   | \pm  1.67   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table XXVII)	Centrality 60-65%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |   5.337 |   4.131 | \pm  0.033    |  14.40 |  11.14 | \pm  0.81   | 0.79         | 15.0  | \pm  0.33   | \pm  0.04   | \pm  0.88   
 0.678      |   5.197 |   4.026 | \pm  0.033    |  14.25 |  11.04 | \pm  0.82   | 0.77         | 14.8  | \pm  0.45   | \pm  0.04   | \pm  0.94   
 0.656      |   5.031 |   3.892 | \pm  0.032    |  14.37 |  11.12 | \pm  0.86   | 0.61         | 14.2  | \pm  0.46   | \pm  0.03   | \pm  0.97   
 0.634      |   4.861 |   3.755 | \pm  0.032    |  14.35 |  11.09 | \pm  0.88   | 0.53         | 13.8  | \pm  0.47   | \pm  0.04   | \pm  0.99   
 0.613      |   4.686 |   3.617 | \pm  0.031    |  14.41 |  11.13 | \pm  0.93   | 0.78         | 13.1  | \pm  0.44   | \pm  0.04   | \pm  1.03   
 0.591      |   4.519 |   3.487 | \pm  0.030    |  13.99 |  10.80 | \pm  0.90   | 0.63         | 12.9  | \pm  0.53   | \pm  0.04   | \pm  1.05   
 0.569      |   4.344 |   3.349 | \pm  0.029    |  14.01 |  10.80 | \pm  0.92   | 0.73         | 12.7  | \pm  0.51   | \pm  0.05   | \pm  1.06   
 0.547      |   4.169 |   3.209 | \pm  0.029    |  14.23 |  10.96 | \pm  0.97   | 0.82         | 12.5  | \pm  0.41   | \pm  0.04   | \pm  1.05   
 0.525      |   4.003 |   3.077 | \pm  0.028    |  13.97 |  10.74 | \pm  0.97   | 0.64         | 12.0  | \pm  0.41   | \pm  0.04   | \pm  1.06   
 0.503      |   3.835 |   2.942 | \pm  0.027    |  13.88 |  10.65 | \pm  1.00   | 0.59         | 11.8  | \pm  0.45   | \pm  0.04   | \pm  1.10   
 0.481      |   3.665 |   2.805 | \pm  0.027    |  13.89 |  10.63 | \pm  1.04   | 0.60         | 11.6  | \pm  0.43   | \pm  0.04   | \pm  1.12   
 0.459      |   3.495 |   2.667 | \pm  0.026    |  13.85 |  10.57 | \pm  1.07   | 0.59         | 11.1  | \pm  0.34   | \pm  0.05   | \pm  1.12   
 0.438      |   3.326 |   2.529 | \pm  0.025    |  13.78 |  10.48 | \pm  1.11   | 0.56         | 10.5  | \pm  0.33   | \pm  0.06   | \pm  1.16   
 0.416      |   3.159 |   2.393 | \pm  0.025    |  13.65 |  10.35 | \pm  1.15   | 0.48         |  9.9  | \pm  0.38   | \pm  0.06   | \pm  1.22   
 0.394      |   2.989 |   2.255 | \pm  0.024    |  13.71 |  10.35 | \pm  1.23   | 0.46         |  9.5  | \pm  0.37   | \pm  0.05   | \pm  1.28   
 0.372      |   2.818 |   2.117 | \pm  0.023    |  13.95 |  10.48 | \pm  1.33   | 0.52         |  8.9  | \pm  0.40   | \pm  0.05   | \pm  1.39   
 0.350      |   2.652 |   1.986 | \pm  0.016    |  14.10 |  10.57 | \pm  1.00   | 0.54         |  8.5  | \pm  0.41   | \pm  0.06   | \pm  1.09   
 0.328      |   2.487 |   1.867 | \pm  0.015    |  14.06 |  10.58 | \pm  1.06   | 0.56         |  8.1  | \pm  0.41   | \pm  0.06   | \pm  1.15   
 0.306      |   2.324 |   1.750 | \pm  0.015    |  14.16 |  10.71 | \pm  1.14   | 0.66         |  7.6  | \pm  0.34   | \pm  0.06   | \pm  1.19   
 0.284      |   2.160 |   1.631 | \pm  0.014    |  14.12 |  10.76 | \pm  1.22   | 0.66         |  7.1  | \pm  0.38   | \pm  0.06   | \pm  1.28   
 0.263      |   1.996 |   1.511 | \pm  0.013    |  14.01 |  10.76 | \pm  1.31   | 0.63         |  6.6  | \pm  0.36   | \pm  0.06   | \pm  1.36   
 0.241      |   1.832 |   1.390 | \pm  0.013    |  13.79 |  10.64 | \pm  1.39   | 0.53         |  6.3  | \pm  0.40   | \pm  0.06   | \pm  1.45   
 0.219      |   1.667 |   1.267 | \pm  0.010    |  13.49 |  10.50 | \pm  1.24   | 0.51         |  5.9  | \pm  0.40   | \pm  0.07   | \pm  1.30   
 0.197      |   1.502 |   1.143 | \pm  0.009    |  13.23 |  10.37 | \pm  1.35   | 0.47         |  5.5  | \pm  0.46   | \pm  0.07   | \pm  1.43   
 0.175      |   1.335 |   1.015 | \pm  0.007    |  13.17 |  10.38 | \pm  1.32   | 0.50         |  5.1  | \pm  0.47   | \pm  0.08   | \pm  1.40   
 0.153      |   1.168 |   0.888 | \pm  0.007    |  12.96 |  10.25 | \pm  1.55   | 0.56         |  4.7  | \pm  0.38   | \pm  0.10   | \pm  1.60   
 0.131      |   1.005 |   0.768 | \pm  0.006    |  12.13 |   9.56 | \pm  1.46   | 0.45         |  4.3  | \pm  0.29   | \pm  0.10   | \pm  1.50   
 0.109      |   0.838 |   0.639 | \pm  0.005    |  11.68 |   9.21 | \pm  1.66   | 0.44         |  3.8  | \pm  0.15   | \pm  0.12   | \pm  1.67   
 0.087      |   0.673 |   0.524 | \pm  0.004    |  10.96 |   8.64 | \pm  1.65   | 0.54         |  3.3  | \pm  0.14   | \pm  0.14   | \pm  1.66   
 0.066      |   0.507 |   0.405 | \pm  0.003    |   9.15 |   7.32 | \pm  1.29   | 0.41         |  2.7  | \pm  0.16   | \pm  0.09   | \pm  1.31   
-------------------------------------------------------------------------------------------------------------------------------------------------


